local,longitud,latitud,count
Abila Airport,24.80023,36.0507,25
Abila Hospital,24.87932,36.05554,0
Abila Scrapyard,24.84535,36.07462,4
Ahaggo Museum,24.87924,36.077,6
Albert's Fine Clothing,24.85701,36.07515,25
Bean There Done That,24.850279,36.083113,47
Brew've Been Served,24.90472,36.0563,156
Carlyle Chemical Inc.,24.883522,36.059449,19
Carly's Coffee,24.85876,36.05669,0
Chostus Hotel,24.89553,36.06995,9
Coffe Shack,24.8595,36.074,0
Coffee Cameleon,24.89177,36.0551,38
Coffee Shack,24.8595,36.074,8
Cup o' Joe,24.87983,36.05117,0
Desafio Golf Course,24.86532,36.09005,8
Frank's Fuel,24.83763,36.07367,2
Frydos Autosupply n' More,24.90753,36.05891,47
Gas Tech,24.88221,36.04786,0
Gelatogalore,24.86199,36.05995,64
General Grocer,24.85778,36.06066,10
Guy's Gyros,24.90041,36.05869,158
Hallowed Grounds,24.88604,36.06336,92
Jack's Magical Beans,24.87414,36.06816,37
Katerina’s Café,24.90055,36.05499,212
Kronos Capital,24.84657,36.05397,0
Kronos Mart,24.848,36.06694,10
Maximum Iron and Steel,24.8372,36.06388,6
Nationwide Refinery,24.88719,36.05582,24
Ouzeri Elian,24.87304,36.05209,87
Pilau Park,24.84077,36.05685,0
Roberts and Sons,24.85145,36.06355,8
U-Pump,24.86924,36.0683,2
